Pos,No.,Country,Name,Team,Engine,Chassis,unformatted_time,Time,Round1,Round2,Round3,Round,F1,Indy,Type,Races,Homeground
6,23,UK,Alexander Albon,RED BULL RACING HONDA,Honda,Reb Bull Racing,01:34.0,94,1,0,0,1,1,0,F1,19,0
6,23,UK,Alexander Albon,RED BULL RACING HONDA,Honda,Reb Bull Racing,01:32.9,92.9,0,1,0,2,1,0,F1,19,0
6,23,UK,Alexander Albon,RED BULL RACING HONDA,Honda,Reb Bull Racing,01:32.5,92.5,0,0,1,3,1,0,F1,19,0
16,99,Italy,Antonio Giovinazzi,ALFA ROMEO RACING FERRARI,Ferrari,Alfa Romeo Racing,01:34.2,94.2,1,0,0,1,1,0,F1,21,0
7,55,Spain,Carlos Sainz,MCLAREN RENAULT,Renault,McLaren,01:33.9,93.9,1,0,0,1,1,0,F1,100,0
7,55,Spain,Carlos Sainz,MCLAREN RENAULT,Renault,McLaren,01:33.4,93.4,0,1,0,2,1,0,F1,100,0
7,55,Spain,Carlos Sainz,MCLAREN RENAULT,Renault,McLaren,01:32.8,92.8,0,0,1,3,1,0,F1,100,0
4,16,Monaco,Charles Leclerc,FERRARI,Ferrari,Ferrari,01:34.0,95,1,0,0,1,1,0,F1,40,0
4,16,Monaco,Charles Leclerc,FERRARI,Ferrari,Ferrari,01:32.8,92.8,0,1,0,2,1,0,F1,40,0
4,16,Monaco,Charles Leclerc,FERRARI,Ferrari,Ferrari,01:32.1,92.1,0,0,1,3,1,0,F1,40,0
9,3,Australia,Daniel Ricciardo,RENAULT,Renault,Renault,01:33.8,93.8,1,0,0,1,1,0,F1,169,0
9,3,Australia,Daniel Ricciardo,RENAULT,Renault,Renault,01:33.6,93.6,0,1,0,2,1,0,F1,169,0
9,3,Australia,Daniel Ricciardo,RENAULT,Renault,Renault,01:33.5,93.5,0,0,1,3,1,0,F1,169,0
13,26,Russia,Daniil Kvyat,SCUDERIA TORO ROSSO HONDA,Honda,Scuderia Toro Rosso,01:34.1,94.1,1,0,0,1,1,0,F1,91,0
13,26,Russia,Daniil Kvyat,SCUDERIA TORO ROSSO HONDA,Honda,Scuderia Toro Rosso,01:34.0,94,0,1,0,2,1,0,F1,91,0
18,63,UK,George Russell,WILLIAMS MERCEDES,Mercedes,Williams,01:35.4,95.4,1,0,0,1,1,0,F1,19,0
12,20,Denmark,Kevin Magnussen,HAAS FERRARI,Ferrari,Haas,01:33.8,93.8,1,0,0,1,1,0,F1,100,0
12,20,Denmark,Kevin Magnussen,HAAS FERRARI,Ferrari,Haas,01:34.0,94,0,1,0,2,1,0,F1,100,0
17,7,Finland,Kimi Räikkönen,ALFA ROMEO RACING FERRARI,Ferrari,Alfa Romeo Racing,01:34.4,94.4,1,0,0,1,1,0,F1,310,0
14,18,Canada,Lance Stroll,RACING POINT BWT MERCEDES,Mercedes,Racing Point,01:33.9,93.9,1,0,0,1,1,0,F1,60,0
14,18,Canada,Lance Stroll,RACING POINT BWT MERCEDES,Mercedes,Racing Point,01:34.1,94.1,0,1,0,2,1,0,F1,60,0
