,Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Time0,TimeDelta
2,2021-10-23 21:58:30.040,0 days 01:13:15.744000,,744.8327777777777,0.0,11844,228,4,100,False,8,interpolation,0.0,3.6747835494402347e-06,OnTrack,-1411,-325,1302,,0.0
3,2021-10-23 21:58:30.186,0 days 01:13:15.890000,,744.8327777777777,0.146,11566,229,4,100,False,8,pos,0.009287222222222221,0.001722699929541195,OnTrack,-1338,-386,1302,0.0,0.146
4,2021-10-23 21:58:30.275,0 days 01:13:15.979000,,744.8327777777777,0.235,11011,232,4,100,False,12,car,0.015022777777777777,0.002785989634968436,OnTrack,-1292,-421,1301,0.146,0.089
5,2021-10-23 21:58:30.406,0 days 01:13:16.110000,,744.8327777777777,0.366,11163,235,4,100,False,12,pos,0.023574166666666667,0.0043722008963192295,OnTrack,-1225,-474,1302,0.235,0.131
6,2021-10-23 21:58:30.515,0 days 01:13:16.219000,77,744.8327777777777,0.475,11316,239,6,100,False,12,car,0.030810555555555556,0.005705057412149723,OnTrack,-1168,-517,1302,0.366,0.10899999999999999
7,2021-10-23 21:58:30.626,0 days 01:13:16.330000,77,743.966111111111,0.586,11388,241,6,100,False,12,pos,0.03824138888888889,0.007069636051201056,OnTrack,-1110,-563,1302,0.475,0.11099999999999999
8,2021-10-23 21:58:30.755,0 days 01:13:16.459000,77,743.0994444444443,0.715,11460,243,6,100,False,12,car,0.04694888888888889,0.008672979880162496,OnTrack,-1040,-615,1301,0.586,0.129
9,2021-10-23 21:58:30.845,0 days 01:13:16.549000,77,742.2327777777778,0.805,11598,246,6,100,False,12,pos,0.05309888888888889,0.00980873210719182,OnTrack,-991,-653,1302,0.715,0.09000000000000008
10,2021-10-23 21:58:30.995,0 days 01:13:16.699000,77,741.3661111111111,0.955,11736,250,6,100,False,12,car,0.06351555555555555,0.011726398057130367,OnTrack,-909,-716,1302,0.805,0.1499999999999999
11,2021-10-23 21:58:31.065,0 days 01:13:16.769000,77,740.566111111111,1.025,11820,252,6,100,False,12,pos,0.06841555555555555,0.012627829070251707,OnTrack,-871,-746,1302,0.955,0.06999999999999995
12,2021-10-23 21:58:31.235,0 days 01:13:16.939000,77,739.7661111111111,1.195,11904,254,6,100,False,12,car,0.08041000000000001,0.014828670924929727,OnTrack,-776,-817,1301,1.025,0.17000000000000015
13,2021-10-23 21:58:31.266,0 days 01:13:16.970000,77,739.0994444444443,1.226,11285,255,6,100,False,12,pos,0.08260583333333334,0.015230504889677428,OnTrack,-759,-831,1302,1.195,0.030999999999999917
14,2021-10-23 21:58:31.475,0 days 01:13:17.179000,77,738.4327777777777,1.435,10666,256,6,100,False,12,car,0.09746805555555556,0.01795537113814483,OnTrack,-641,-921,1302,1.226,0.20900000000000007
15,2021-10-23 21:58:31.486,0 days 01:13:17.190000,77,737.9216666666666,1.446,10678,258,6,100,False,12,pos,0.09825638888888888,0.018100718901750672,OnTrack,-635,-926,1302,1.435,0.010999999999999899
16,2021-10-23 21:58:31.705,0 days 01:13:17.409000,77,737.4105555555554,1.665,10690,260,6,100,False,12,pos,0.11407305555555555,0.02103287830031455,OnTrack,-508,-1023,1302,1.446,0.21900000000000008
17,2021-10-23 21:58:31.715,0 days 01:13:17.419000,77,736.8994444444444,1.675,10703,263,7,100,False,12,car,0.1148036111111111,0.021167567060315032,OnTrack,-502,-1027,1302,1.665,0.010000000000000009
18,2021-10-23 21:58:31.925,0 days 01:13:17.629000,77,736.1994444444445,1.885,10799,264,7,100,False,12,pos,0.13020361111111112,0.02400719137184506,OnTrack,-380,-1121,1302,1.675,0.20999999999999996
19,2021-10-23 21:58:31.955,0 days 01:13:17.659000,77,735.4994444444444,1.915,10895,266,7,100,False,12,car,0.1324202777777778,0.024416404000608845,OnTrack,-362,-1134,1301,1.885,0.030000000000000027
20,2021-10-23 21:58:32.126,0 days 01:13:17.830000,77,734.7661111111111,2.086,10982,268,7,100,False,12,pos,0.14515027777777778,0.026769636812916303,OnTrack,-261,-1211,1302,1.915,0.17099999999999982
21,2021-10-23 21:58:32.195,0 days 01:13:17.899000,77,734.0327777777777,2.155,11069,271,7,100,False,12,car,0.15034444444444445,0.027726309304442014,OnTrack,-220,-1242,1302,2.086,0.06899999999999995
22,2021-10-23 21:58:32.346,0 days 01:13:18.050000,77,733.2661111111111,2.306,11104,272,7,100,False,12,pos,0.16175333333333336,0.02983033292919769,OnTrack,-130,-1312,1305,2.155,0.15100000000000025
23,2021-10-23 21:58:32.435,0 days 01:13:18.139000,77,732.4994444444444,2.395,11139,274,7,100,False,12,car,0.16852722222222224,0.031072855626398808,OnTrack,-76,-1353,1304,2.306,0.08899999999999997
