,Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2,2019-11-02 21:56:05.079,0 days 01:11:04.077000,,114.60388888888886,0 days 00:00:00,11060,233,5,100,False,12,interpolation,0.12698033271586973,2.3116949769794848e-05,OnTrack,-1469,-286,1303
3,2019-11-02 21:56:05.114,0 days 01:11:04.112000,,114.60388888888886,0 days 00:00:00.035000,10841,235,5,100,False,12,pos,2.4405385044234356,0.0004443034981192502,OnTrack,-1451,-301,1304
4,2019-11-02 21:56:05.218,0 days 01:11:04.216000,,114.60388888888886,0 days 00:00:00.139000,10404,238,6,100,False,12,car,9.35777777777778,0.001703596724146537,OnTrack,-1395,-343,1304
5,2019-11-02 21:56:05.414,0 days 01:11:04.412000,,114.60388888888886,0 days 00:00:00.335000,10609,240,6,100,False,12,pos,22.564944245381,0.004107980121976048,OnTrack,-1292,-422,1304
6,2019-11-02 21:56:05.458,0 days 01:11:04.456000,,114.60388888888886,0 days 00:00:00.379000,10814,243,6,100,False,12,car,25.55777777777778,0.004652829713704421,OnTrack,-1270,-438,1303
7,2019-11-02 21:56:05.698,0 days 01:11:04.696000,,114.60388888888886,0 days 00:00:00.619000,11012,248,6,100,False,12,car,42.09111111111111,0.007662746509631809,OnTrack,-1158,-525,1303
8,2019-11-02 21:56:05.714,0 days 01:11:04.712000,,114.60388888888886,0 days 00:00:00.635000,11136,252,6,100,False,12,pos,43.21171385362831,0.007866753829163953,OnTrack,-1150,-532,1303
9,2019-11-02 21:56:05.937,0 days 01:11:04.935000,,114.60388888888886,0 days 00:00:00.858000,11260,256,6,100,False,12,car,59.086666666666666,0.010756811517058242,OnTrack,-1026,-626,1302
10,2019-11-02 21:56:06.014,0 days 01:11:05.012000,,114.60388888888886,0 days 00:00:00.935000,11369,259,6,100,False,12,pos,64.66571757665595,0.011772485652500423,OnTrack,-983,-659,1303
11,2019-11-02 21:56:06.217,0 days 01:11:05.215000,4,114.60388888888886,0 days 00:00:01.138000,11478,263,6,100,False,12,car,79.54222222222222,0.014480774434600123,OnTrack,-874,-741,1303
12,2019-11-02 21:56:06.314,0 days 01:11:05.312000,4,105.77055555555552,0 days 00:00:01.235000,11020,264,6,100,False,12,pos,86.68204547581112,0.015780589390099936,OnTrack,-824,-781,1303
13,2019-11-02 21:56:06.457,0 days 01:11:05.455000,4,96.93722222222219,0 days 00:00:01.378000,10563,266,6,100,False,12,car,97.27555555555556,0.017709152933457727,OnTrack,-748,-838,1303
14,2019-11-02 21:56:06.614,0 days 01:11:05.612000,4,96.93722222222219,0 days 00:00:01.535000,10496,268,6,100,False,12,pos,109.06664483804866,0.019855737470170762,OnTrack,-665,-903,1303
15,2019-11-02 21:56:06.697,0 days 01:11:05.695000,,96.93722222222219,0 days 00:00:01.618000,10429,271,7,100,False,12,car,115.34222222222223,0.020998215238684833,OnTrack,-620,-937,1302
16,2019-11-02 21:56:06.913,0 days 01:11:05.911000,,96.93722222222219,0 days 00:00:01.834000,10505,272,7,100,False,12,pos,131.76967686927193,0.02398885666952094,OnTrack,-498,-1030,1303
17,2019-11-02 21:56:06.937,0 days 01:11:05.935000,,96.93722222222219,0 days 00:00:01.858000,10581,274,7,100,False,12,car,133.60888888888888,0.02432368782773364,OnTrack,-483,-1041,1303
18,2019-11-02 21:56:07.138,0 days 01:11:06.136000,,96.93722222222219,0 days 00:00:02.059000,10711,278,7,100,False,12,car,149.13055555555556,0.027149429271329583,OnTrack,-354,-1140,1304
19,2019-11-02 21:56:07.213,0 days 01:11:06.211000,,96.93722222222219,0 days 00:00:02.134000,10746,279,7,100,False,12,pos,154.96237246834016,0.02821111981628304,OnTrack,-308,-1176,1305
20,2019-11-02 21:56:07.378,0 days 01:11:06.376000,,96.93722222222219,0 days 00:00:02.299000,10781,281,7,100,False,12,car,167.86388888888888,0.030559859189295695,OnTrack,-214,-1247,1304
21,2019-11-02 21:56:07.513,0 days 01:11:06.511000,,96.93722222222219,0 days 00:00:02.434000,10823,282,7,100,False,12,pos,178.49743005489924,0.03249571044871665,OnTrack,-141,-1304,1304
22,2019-11-02 21:56:07.617,0 days 01:11:06.615000,,96.93722222222219,0 days 00:00:02.538000,10865,284,7,100,False,12,car,186.7183333333333,0.03399233755690939,OnTrack,-82,-1349,1303
23,2019-11-02 21:56:07.813,0 days 01:11:06.811000,,96.93722222222219,0 days 00:00:02.734000,10947,285,7,100,False,12,pos,202.26435955450313,0.03682251369197148,OnTrack,33,-1438,1304
24,2019-11-02 21:56:07.857,0 days 01:11:06.855000,,96.93722222222219,0 days 00:00:02.778000,11030,286,7,100,False,12,car,205.785,0.03746345128124501,OnTrack,59,-1458,1303
25,2019-11-02 21:56:08.113,0 days 01:11:07.111000,,96.93722222222219,0 days 00:00:03.034000,11090,289,7,100,False,12,pos,226.5325049894029,0.04124056400752672,OnTrack,215,-1577,1303
26,2019-11-02 21:56:08.177,0 days 01:11:07.175000,,96.93722222222219,0 days 00:00:03.098000,11151,292,7,100,False,12,car,231.74055555555555,0.0421886970038837,OnTrack,254,-1606,1302
27,2019-11-02 21:56:08.413,0 days 01:11:07.411000,,96.93722222222219,0 days 00:00:03.334000,11195,292,7,100,False,12,pos,250.9474240302855,0.045685334666338825,OnTrack,398,-1717,1303
28,2019-11-02 21:56:08.417,0 days 01:11:07.415000,,96.93722222222219,0 days 00:00:03.338000,11239,293,7,100,False,12,car,251.2738888888889,0.045744768057136634,OnTrack,400,-1718,1302
29,2019-11-02 21:56:08.657,0 days 01:11:07.655000,,96.93722222222219,0 days 00:00:03.578000,11315,295,7,100,False,12,car,270.94055555555553,0.049325112632937346,OnTrack,545,-1830,1302
30,2019-11-02 21:56:08.714,0 days 01:11:07.712000,,96.93722222222219,0 days 00:00:03.635000,11175,296,7,100,False,12,pos,275.6324603678057,0.050179280562329544,OnTrack,580,-1857,1303
31,2019-11-02 21:56:08.858,0 days 01:11:07.856000,,96.93722222222219,0 days 00:00:03.779000,11035,297,8,100,False,12,car,287.5230555555555,0.05234398029030424,OnTrack,667,-1923,1303
32,2019-11-02 21:56:09.014,0 days 01:11:08.012000,,96.93722222222219,0 days 00:00:03.935000,10724,298,8,100,False,12,pos,300.470130406061,0.054701013640142876,OnTrack,763,-1997,1305
33,2019-11-02 21:56:09.098,0 days 01:11:08.096000,,96.93722222222219,0 days 00:00:04.019000,10413,299,8,100,False,12,car,307.45638888888885,0.05597287191120056,OnTrack,815,-2037,1305
34,2019-11-02 21:56:09.314,0 days 01:11:08.312000,,96.93722222222219,0 days 00:00:04.235000,10441,299,8,100,False,12,pos,325.45055587478834,0.0592487355466591,OnTrack,954,-2143,1309
35,2019-11-02 21:56:09.338,0 days 01:11:08.336000,,96.93722222222219,0 days 00:00:04.259000,10469,300,8,100,False,12,car,327.45638888888885,0.05961390029337079,OnTrack,969,-2155,1309
