Delta,Time,Difference,Location of IndyCar
0.1,0.6,,Start/finish straight
0.2,1.6,1,Start/finish straight
0.3,2.7,1.1,Start/finish straight
0.4,3.1,0.4,Start/finish straight
0.5,3.9,0.8,Start/finish straight
0.6,4.6,0.7,Start/finish straight
0.7,5.5,0.9,Start/finish straight
0.8,6.2,0.7,Start/finish straight
0.9,6.9,0.7,Start/finish straight
1,7.4,0.5,Start/finish straight
1.1,8.1,0.7,Start/finish straight
1.2,8.9,0.8,Start/finish straight
1.3,9.9,1,Start/finish straight
1.4,10.9,1,Turn 1
1.5,12.4,1.5,Lead-up to turn 2
1.6,13.6,1.2,Lead-up to turn 2
1.7,14,0.4,Lead-up to turn 2
1.8,14.4,0.4,Lead-up to turn 2
1.9,14.9,0.5,Lead-up to turn 2
2,15.2,0.3,Lead-up to turn 2
2.1,15.6,0.4,Lead-up to turn 2
2.2,16.3,0.7,Turn 2
2.3,17.1,0.8,Lead-up to esses section
2.4,17.9,0.8,Lead-up to esses section
2.5,18.7,0.8,Lead-up to esses section
2.6,19.5,0.8,Lead-up to esses section
2.7,20.3,0.8,Lead-up to esses section
2.8,21,0.7,Esses section
2.9,21.7,0.7,Esses section
3,22.1,0.4,Esses section
3.1,22.7,0.6,Esses section
3.2,23,0.3,Esses section
3.3,23.5,0.5,Esses section
3.4,23.9,0.4,Esses section
3.5,24.3,0.4,Esses section
3.6,24.5,0.2,Esses section
3.7,24.9,0.4,Esses section
3.8,N/A,0.4,Esses section
3.9,N/A,0.2,Esses section
4,N/A,0.2,Esses section
4.1,N/A,0.3,Esses section
4.2,N/A,0.4,Esses section
4.3,N/A,0.2,Esses section
4.4,N/A,0.3,Esses section
4.5,N/A,0.2,Esses section
4.6,N/A,0.3,Lead-up to turn 7
4.7,N/A,0.4,Lead-up to turn 7
4.8,N/A,0.3,Lead-up to turn 7
4.9,29.3,0.3,Lead-up to turn 7
5,29.7,0.4,Lead-up to turn 7
5.1,30,0.3,Lead-up to turn 7
5.2,30.3,0.3,Lead-up to turn 7
5.3,30.8,0.5,Lead-up to turn 7
5.4,31.2,0.4,Turn 7
5.5,31.6,0.4,Lead-up to turn 8
5.6,32.1,0.5,Lead-up to turn 8
5.7,32.5,0.4,Lead-up to turn 8
5.8,33,0.5,Lead-up to turn 8
5.9,33.5,0.5,Lead-up to turn 8
6,33.9,0.4,Lead-up to turn 8
6.1,34.3,0.4,Turn 8
6.2,34.9,0.6,Lead-up to turn 9
6.3,35.3,0.4,Lead-up to turn 9
6.4,35.9,0.6,Lead-up to turn 9
6.5,36.2,0.3,Lead-up to turn 9
6.6,36.6,0.4,Lead-up to turn 9
6.7,37,0.4,Lead-up to turn 9
6.8,37.4,0.4,Turn 9
6.9,38.1,0.7,Lead-up to turn 10
7,38.7,0.6,Lead-up to turn 10
7.1,39.2,0.5,Lead-up to turn 10
7.2,39.9,0.7,Lead-up to turn 10
7.3,40.5,0.6,Lead-up to turn 10
7.4,41.3,0.8,Turn 10
7.5,41.8,0.5,Lead-up to turn 11
7.6,42.5,0.7,Lead-up to turn 11
7.7,42.9,0.4,Lead-up to turn 11
7.8,43.4,0.5,Lead-up to turn 11
7.9,43.9,0.5,Lead-up to turn 11
