,Unnamed: 0,Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Delta,Time0,TimeDelta,TimeIndy,TimeIndy0,TimeIndyDelta,Distance0,DistanceDelta,IndySpeed,SpeedDelta
0,2,2018-10-20 21:58:46.916,0 days 01:13:46.852000,,,0.0,10919,236,5,100,False,12,interpolation,0.0,-3.3378036022955186e-06,OnTrack,-1411.0490935377202,-327.2656405909354,1304,0.00827903339879299,,0.0,0.00827903339879299,,0.0,,0.0,,
1,3,2018-10-20 21:58:47.130,0 days 01:13:47.066000,,,0.214,10830,237,6,100,False,12,car,0.014088333333333333,0.0025752784529338,OnTrack,-1299.8582213240988,-414.48527044499565,1303,0.032909601066434035,0.0,0.214,0.24690960106643403,0.00827903339879299,0.23863056766764104,0.0,0.014088333333333333,212.53773351718638,24.462266482813618
2,4,2018-10-20 21:58:47.198,0 days 01:13:47.134000,,,0.282,10978,242,6,100,False,12,pos,0.018659444444444444,0.0034152513803968,OnTrack,-1263.7758099532011,-442.6764965359873,1304,0.040736136586993155,0.214,0.06799999999999998,0.3227361365869931,0.24690960106643403,0.0758265355205591,0.014088333333333333,0.004571111111111111,217.02165194581823,24.978348054181765
3,5,2018-10-20 21:58:47.450,0 days 01:13:47.386000,,,0.534,11126,248,6,100,False,12,car,0.03601944444444445,0.0066007678763103,OnTrack,-1126.7042020055233,-549.0560728207886,1303,0.0697403564572987,0.282,0.25200000000000006,0.6037403564572987,0.3227361365869931,0.2810042198703056,0.018659444444444444,0.017360000000000007,222.40235406017877,25.597645939821234
4,6,2018-10-20 21:58:47.498,0 days 01:13:47.434000,,,0.582,11283,251,6,100,False,12,pos,0.039366111111111116,0.0072160458406367,OnTrack,-1100.2739374408102,-569.4489595198922,1303,0.07526496976593045,0.534,0.04799999999999993,0.6572649697659304,0.6037403564572987,0.053524613308631674,0.03601944444444445,0.0033466666666666645,225.09270511734954,25.90729488265046
5,7,2018-10-20 21:58:47.730,0 days 01:13:47.666000,,,0.814,11441,255,6,100,False,12,car,0.05579944444444445,0.0102224909714349,OnTrack,-970.4745112372166,-669.1876703732789,1302,0.10196726742430684,0.582,0.23199999999999998,0.9159672674243068,0.6572649697659304,0.2587022976583764,0.039366111111111116,0.016433333333333335,228.67983986026454,26.320160139735464
6,8,2018-10-20 21:58:47.798,0 days 01:13:47.734000,,,0.882,11212,257,6,100,False,12,pos,0.060653888888888896,0.0111128255861715,OnTrack,-932.1190832450102,-698.5643146892428,1303,0.10979380294486507,0.814,0.06800000000000006,0.9917938029448651,0.9159672674243068,0.07582653552055829,0.05579944444444445,0.004854444444444446,230.4734072317186,26.526592768281404
7,9,2018-10-20 21:58:47.970,0 days 01:13:47.906000,,,1.054,10983,260,6,100,False,12,car,0.07307611111111112,0.0133876943486866,OnTrack,-833.9134098985878,-773.6801052279936,1303,0.1295903339674549,0.882,0.17200000000000004,1.183590333967455,0.9917938029448651,0.19179653102258987,0.060653888888888896,0.012422222222222223,233.16375828889662,26.836241711103384
8,10,2018-10-20 21:58:48.098,0 days 01:13:48.034000,,,1.182,10934,263,6,100,False,12,pos,0.08242722222222222,0.0151095820218419,OnTrack,-759.8849005511429,-830.250727468607,1304,0.1443226361237997,1.054,0.1279999999999999,1.3263226361237996,1.183590333967455,0.1427323021563447,0.07307611111111112,0.009351111111111102,235.85410934607802,27.14589065392198
9,11,2018-10-20 21:58:48.210,0 days 01:13:48.146000,,,1.294,10886,266,7,100,False,12,car,0.09070277777777778,0.0166259408807979,OnTrack,-694.2475930807523,-880.391268743979,1303,0.15721340051060206,1.182,0.1120000000000001,1.451213400510602,1.3263226361237996,0.12489076438680247,0.08242722222222222,0.008275555555555564,238.5444604032564,27.45553959674359
